R3.0	R3.4
R3.1	R3.5
R149.7	R169.7
R150.0	R170.0
R150.1	R170.1
R150.4	R170.4
R150.6	R170.6
R150.2	R170.2
R150.3	R170.3
R150.5	R170.5
R150.7  R170.7
R151.0	R171.0
R151.1	R171.1
R151.2	R171.2
R151.3	R171.3
R151.4	R171.4
R151.6	R171.6
R151.7	R171.7
R152.0	R172.0
R152.1	R172.1
R152.2	R172.2
R152.3	R172.3
R152.4	R172.4
R153.0	R173.0
R153.1	R173.1
R154.0	R174.0
R154.1	R174.1
R300.0	R310.0
R300.1	R310.1
R300.2	R310.2
R300.3	R310.3
R300.4	R310.4
R300.5	R310.5
R300.6	R310.6
R300.7	R310.7
R301.0	R311.0
R301.1	R311.1
R301.2	R311.2
R301.3	R311.3
R301.4	R311.4
R301.5	R311.5
R301.6	R311.6
R301.7	R311.7
R302.0	R312.0
R302.1	R312.1
R302.2	R312.2
R302.3	R312.3
R302.4	R312.4
R302.5	R312.5
R302.6	R312.6
R302.7	R312.7
R304.7	R314.7
R305.0	R315.0
R305.1	R315.1
R305.2	R315.2
R305.3	R315.3
R305.4	R315.4
R305.5	R315.5
R305.6	R315.6
R305.7	R315.7
R500.0  R502.0
R501.0  R503.0
R500	R502
R501	R503
D110  D210
D111  D211
D99  D199
X0.6	X1.2
X0.7	X1.3
X2.6	X1.6
X1.0	X1.4
X2.4	X1.1
X12.3	X14.6
X12.4	X15.2
Y0.5	Y0.6
Y0.7	Y1.0
Y1.1	Y1.2
Y1.4	Y2.1
Y1.5	Y2.2
Y1.6	Y2.3
Y1.7	Y2.4
Y2.6	Y2.7
Y2.0	Y2.5
Y12.3	Y14.6
Y12.4	Y15.2


